,CustomerNo,TotalQuantity,TotalMoney,Clusters
144,13077.0,863.0,8520.32,0
146,14702.0,1454.0,17333.93,2
147,15796.0,860.0,10326.49,0
150,14708.0,621.0,6227.33,0
151,16539.0,930.0,8567.96,0
152,12828.0,494.0,4974.54,1
153,12912.0,670.0,5512.84,1
155,17503.0,486.0,4215.73,1
156,14397.0,1890.0,19764.28,2
158,16458.0,2154.0,18571.38,2
160,14141.0,355.0,4112.4,1
161,14910.0,238.0,2348.79,1
162,13743.0,1811.0,18820.77,2
163,14794.0,673.0,6267.63,0
166,12826.0,1055.0,10393.34,0
167,13023.0,1355.0,12316.55,0
168,17091.0,1746.0,17273.64,2
170,16817.0,822.0,9354.49,0
171,15969.0,124.0,1685.3,1
172,13267.0,1969.0,22997.09,2
173,13882.0,953.0,8586.57,0
175,15568.0,982.0,11351.97,0
176,17238.0,1821.0,19801.69,2
177,17412.0,738.0,7409.18,0
179,18219.0,885.0,10469.52,0
180,17835.0,348.0,2992.59,1
183,15984.0,1843.0,17846.59,2
185,14534.0,2046.0,23311.07,2
186,14527.0,2087.0,26090.68,2
187,15195.0,1404.0,8690.76,0
188,17232.0,203.0,1286.72,1
189,15136.0,776.0,7528.04,0
190,17042.0,994.0,10745.62,0
192,15750.0,1786.0,18837.8,2
193,14087.0,251.0,1700.99,1
194,18272.0,2050.0,22758.63,2
196,18237.0,622.0,6911.94,0
197,16393.0,1576.0,14775.12,2
198,17590.0,826.0,8931.82,0
199,14904.0,1985.0,15133.16,2
200,16368.0,260.0,2435.21,1
202,18273.0,80.0,892.4,1
204,12950.0,1380.0,9659.92,0
205,13870.0,1325.0,15732.68,2
207,14204.0,82.0,507.58,1
210,16426.0,1242.0,12094.43,0
211,15471.0,266.0,1640.16,1
212,17266.0,161.0,1239.4,1
213,12747.0,1275.0,15438.2,2
214,14395.0,1693.0,19410.3,2
215,15701.0,923.0,9618.3,0
216,15525.0,694.0,7941.46,0
220,12615.0,1362.0,14117.8,0
222,17870.0,1529.0,15581.09,2
223,13769.0,1163.0,13953.19,0
224,14032.0,2032.0,22796.67,2
228,12783.0,611.0,6599.98,0
229,12569.0,1747.0,19139.07,2
233,17449.0,1124.0,13054.8,0
234,15883.0,223.0,1813.56,1
235,17097.0,459.0,4469.7,1
237,12935.0,1853.0,19074.18,2
238,16197.0,12.0,74.93,1
239,16929.0,929.0,8767.08,0
241,17728.0,1469.0,15663.12,2
242,12716.0,1371.0,15550.62,2
243,14140.0,811.0,7784.54,0
244,17666.0,596.0,5553.68,1
245,17739.0,866.0,10669.07,0
247,12584.0,413.0,5498.41,1
248,15748.0,56.0,706.78,1
249,12749.0,1470.0,17525.86,2
250,12478.0,233.0,1547.87,1
252,13754.0,1193.0,9519.51,0
253,14737.0,564.0,8004.79,0
254,12723.0,433.0,3772.94,1
257,12877.0,1178.0,12768.1,0
259,14562.0,1834.0,22293.9,2
260,16015.0,908.0,8419.03,0
261,15992.0,17.0,105.23,1
262,13994.0,940.0,11786.41,0
264,16949.0,1252.0,16665.45,2
267,15318.0,642.0,4119.78,1
268,17884.0,854.0,8144.14,0
269,14825.0,1425.0,15790.69,2
271,16764.0,1259.0,13261.43,0
272,18005.0,92.0,806.35,1
273,16790.0,898.0,9359.23,0
274,17914.0,473.0,2957.59,1
275,18283.0,1395.0,12114.61,0
277,14735.0,2263.0,24485.89,2
279,14071.0,957.0,10502.31,0
280,17250.0,168.0,1487.43,1
281,14113.0,745.0,8344.48,0
282,17346.0,1657.0,16694.78,2
283,14121.0,2082.0,18803.6,2
284,16620.0,88.0,776.02,1
286,16979.0,865.0,10287.81,0
287,15907.0,508.0,4766.57,1
288,16353.0,2005.0,24551.09,2
289,13755.0,1404.0,15927.96,2
291,17481.0,1061.0,10079.0,0
293,17290.0,403.0,2598.72,1
294,16528.0,171.0,1089.89,1
296,16313.0,165.0,1498.83,1
297,13104.0,504.0,5505.24,1
298,13507.0,1597.0,16866.39,2
299,16495.0,352.0,3277.35,1
302,14503.0,2004.0,20398.81,2
303,14871.0,185.0,1933.01,1
304,17705.0,963.0,9594.0,0
305,16143.0,919.0,11275.01,0
306,14907.0,1693.0,18872.61,2
307,12442.0,181.0,1297.84,1
308,14673.0,1004.0,10324.54,0
309,16016.0,620.0,6894.9,0
310,14572.0,1428.0,17276.67,2
311,17119.0,333.0,3844.79,1
312,14868.0,1405.0,15651.9,2
313,15822.0,375.0,3420.63,1
314,12417.0,1527.0,17859.88,2
315,14216.0,593.0,5248.0,1
316,16076.0,1435.0,16260.48,2
318,12820.0,1092.0,12348.48,0
319,14293.0,709.0,6579.12,0
321,16569.0,93.0,575.67,1
323,12362.0,2188.0,24367.78,2
325,16201.0,1377.0,12822.06,0
326,17861.0,1988.0,20308.57,2
328,16711.0,797.0,7942.64,0
329,12650.0,250.0,1590.7,1
330,18154.0,255.0,2363.58,1
332,13323.0,175.0,1764.15,1
333,14578.0,240.0,1484.85,1
335,16987.0,402.0,5260.91,1
336,17883.0,379.0,2874.51,1
338,14075.0,754.0,7542.58,0
339,18180.0,1721.0,17879.32,2
340,13417.0,162.0,1553.02,1
343,12782.0,1072.0,12179.67,0
344,13126.0,2143.0,21919.32,2
345,15572.0,1229.0,14258.73,2
346,12646.0,1445.0,15251.15,2
347,17402.0,700.0,9185.49,0
348,16513.0,453.0,5126.11,1
349,14931.0,416.0,4651.5,1
350,15628.0,1895.0,21880.24,2
352,15392.0,1277.0,13495.12,0
353,17526.0,413.0,4540.27,1
354,12925.0,540.0,4826.72,1
356,16149.0,308.0,2801.96,1
357,16642.0,542.0,5042.95,1
359,16811.0,520.0,5234.63,1
360,12610.0,2005.0,18853.03,2
361,13612.0,848.0,5521.15,1
362,14759.0,569.0,5406.51,1
363,16500.0,1033.0,13566.05,0
365,15053.0,986.0,8200.88,0
366,17006.0,271.0,2983.04,1
367,12913.0,1417.0,11059.79,0
368,16682.0,1040.0,10942.8,0
369,16360.0,2144.0,23019.42,2
370,17579.0,258.0,2537.87,1
372,14649.0,1018.0,10004.95,0
374,15033.0,1693.0,19022.56,2
375,12381.0,797.0,9136.37,0
376,17254.0,252.0,1596.47,1
377,16910.0,886.0,9256.83,0
378,13311.0,307.0,3519.03,1
379,16904.0,2022.0,22395.27,2
381,14083.0,789.0,7546.77,0
382,12628.0,445.0,4386.39,1
384,16851.0,271.0,2779.46,1
386,15854.0,772.0,9317.08,0
387,15621.0,501.0,4544.65,1
388,14696.0,1630.0,17629.03,2
389,17090.0,1405.0,17018.68,2
392,17218.0,958.0,10829.63,0
394,15097.0,170.0,1048.88,1
396,15031.0,401.0,4446.55,1
397,18044.0,1033.0,12118.39,0
399,16674.0,193.0,2253.83,1
401,17817.0,67.0,803.34,1
402,16200.0,523.0,4597.12,1
403,18015.0,157.0,1013.09,1
406,13083.0,187.0,1932.58,1
407,16968.0,326.0,2651.19,1
408,17683.0,2.0,14.48,1
409,13305.0,1232.0,13825.79,0
410,17676.0,932.0,8864.62,0
411,16379.0,1410.0,14158.48,2
412,15550.0,295.0,2969.33,1
413,12994.0,459.0,4740.06,1
414,16597.0,184.0,1127.92,1
415,13790.0,748.0,4579.84,1
416,13173.0,453.0,4861.14,1
417,15690.0,408.0,3588.24,1
418,16600.0,1145.0,10645.83,0
419,13230.0,1665.0,18287.83,2
420,17699.0,2.0,14.48,1
421,14219.0,78.0,564.72,1
425,13021.0,1352.0,15085.05,2
426,18030.0,67.0,747.54,1
427,12715.0,200.0,2000.45,1
428,12367.0,173.0,1268.6,1
429,14608.0,437.0,5412.57,1
430,13079.0,62.0,758.1,1
432,14629.0,380.0,3846.23,1
433,15274.0,619.0,5812.22,0
435,15724.0,75.0,983.95,1
436,15932.0,2325.0,24497.72,2
438,15145.0,756.0,8224.89,0
440,17383.0,150.0,925.64,1
441,17732.0,109.0,1241.34,1
442,16326.0,709.0,9367.79,0
443,18065.0,1027.0,11673.68,0
444,12952.0,653.0,7084.06,0
445,16438.0,463.0,5084.27,1
446,17629.0,1628.0,17230.36,2
447,13838.0,262.0,2785.96,1
448,13558.0,344.0,3640.58,1
449,14354.0,210.0,1755.3,1
450,16561.0,244.0,2465.03,1
451,17618.0,1636.0,21151.1,2
453,13596.0,406.0,2563.69,1
454,14720.0,219.0,2363.45,1
455,16283.0,1234.0,13460.59,0
456,13822.0,611.0,6354.81,0
457,13153.0,769.0,8860.12,0
458,17114.0,219.0,2812.31,1
459,12827.0,197.0,2154.89,1
460,13808.0,782.0,8921.78,0
461,14583.0,792.0,8014.5,0
463,15773.0,311.0,1976.54,1
464,17131.0,983.0,10051.13,0
465,14546.0,1317.0,14354.12,2
467,13956.0,491.0,5705.06,1
468,17936.0,263.0,1649.94,1
469,15867.0,2035.0,23270.0,2
471,17508.0,1092.0,13280.47,0
472,12719.0,370.0,3193.46,1
473,12560.0,1098.0,11335.82,0
474,12673.0,715.0,7908.16,0
476,16905.0,1405.0,16605.09,2
478,17954.0,2234.0,23168.01,2
479,17173.0,1122.0,11164.17,0
480,13435.0,2129.0,24028.86,2
481,13519.0,962.0,6273.64,0
482,17521.0,520.0,6066.69,0
483,17827.0,1256.0,13424.14,0
484,13704.0,1531.0,17522.69,2
485,13630.0,1391.0,15566.72,2
486,16535.0,356.0,2188.49,1
487,13736.0,497.0,4374.55,1
488,14658.0,47.0,460.96,1
489,14102.0,961.0,9737.34,0
490,12724.0,439.0,4346.39,1
491,16988.0,43.0,259.72,1
493,17537.0,716.0,8193.56,0
494,17157.0,172.0,1644.16,1
496,13297.0,971.0,10774.78,0
497,12684.0,1973.0,21663.16,2
499,17183.0,1296.0,15203.13,2
500,14148.0,129.0,1020.51,1
501,16150.0,1053.0,12533.81,0
502,12364.0,1625.0,15842.75,2
503,12762.0,1223.0,9736.92,0
504,13183.0,2208.0,25382.46,2
505,14897.0,962.0,11719.29,0
506,12558.0,196.0,1213.24,1
507,17942.0,38.0,235.22,1
509,12856.0,1079.0,12237.51,0
510,18097.0,1686.0,18253.74,2
511,13495.0,829.0,9963.32,0
512,17386.0,1902.0,17650.06,2
513,18282.0,103.0,1044.86,1
514,14126.0,507.0,3074.67,1
515,14292.0,1543.0,17931.26,2
516,16440.0,2018.0,20821.14,2
517,16899.0,1084.0,12279.59,0
518,17495.0,231.0,2339.95,1
519,14092.0,2066.0,23915.74,2
522,13705.0,363.0,3739.41,1
523,16038.0,244.0,2843.2,1
524,16759.0,610.0,5102.85,1
525,18144.0,1341.0,15681.22,2
526,12587.0,50.0,309.5,1
528,16474.0,941.0,10938.97,0
529,13560.0,64.0,393.46,1
530,15123.0,1195.0,10496.86,0
531,12704.0,988.0,10975.87,0
532,14428.0,436.0,5198.44,1
533,12695.0,1472.0,18421.26,2
535,14594.0,185.0,2016.96,1
536,17221.0,288.0,2330.17,1
537,15539.0,410.0,2592.05,1
538,13780.0,330.0,2926.61,1
540,17086.0,1892.0,17903.75,2
541,14023.0,345.0,3072.97,1
542,15271.0,1262.0,14713.71,2
543,16103.0,558.0,7160.06,0
545,12970.0,310.0,2042.09,1
546,14250.0,1200.0,11971.93,0
547,15570.0,2067.0,24100.68,2
548,18245.0,1788.0,18187.06,2
550,14560.0,1260.0,14370.68,2
555,13017.0,48.0,297.12,1
556,12962.0,129.0,1224.13,1
558,14493.0,1285.0,12887.71,0
559,14865.0,108.0,1108.8,1
560,13884.0,300.0,3344.57,1
561,13868.0,1964.0,14315.02,2
562,13309.0,1544.0,14579.47,2
563,16366.0,340.0,3485.05,1
564,13367.0,1871.0,11971.08,0
565,16989.0,1234.0,13447.79,0
566,14369.0,19.0,117.61,1
567,18174.0,50.0,309.5,1
568,16359.0,1183.0,14349.99,2
569,14788.0,421.0,3757.48,1
570,17584.0,458.0,4593.87,1
572,15687.0,1310.0,15455.19,2
573,15951.0,313.0,3113.33,1
574,16909.0,466.0,5041.69,1
576,13854.0,2296.0,30706.24,2
577,12572.0,446.0,4389.56,1
579,13509.0,1105.0,11667.43,0
580,15101.0,241.0,1910.97,1
582,16496.0,1161.0,12232.53,0
584,13040.0,355.0,3244.45,1
585,15993.0,2137.0,22341.88,2
588,14243.0,1508.0,18738.8,2
589,14804.0,121.0,747.79,1
590,13159.0,1059.0,10940.73,0
591,16376.0,694.0,7856.28,0
592,14047.0,381.0,4384.15,1
593,14289.0,292.0,3789.48,1
594,17937.0,1754.0,20984.9,2
595,15172.0,1610.0,15752.32,2
596,15021.0,855.0,9914.9,0
598,14178.0,1503.0,14659.93,2
599,15380.0,376.0,4996.42,1
600,12951.0,504.0,5184.56,1
601,14659.0,1195.0,13524.01,0
602,14869.0,550.0,5187.13,1
603,13090.0,2262.0,31264.75,2
604,16156.0,1308.0,15226.15,2
605,14960.0,221.0,1477.79,1
606,12963.0,881.0,9224.72,0
607,18122.0,1224.0,12291.25,0
610,17768.0,1186.0,12213.36,0
611,14287.0,261.0,2577.51,1
612,15862.0,733.0,8828.13,0
614,18077.0,1878.0,21100.58,2
615,15434.0,1839.0,21948.78,2
616,14309.0,1633.0,17912.71,2
617,16966.0,1981.0,19152.74,2
618,17321.0,412.0,5008.89,1
619,15060.0,262.0,1734.68,1
620,12919.0,673.0,6597.84,0
621,15500.0,569.0,6023.38,0
622,16813.0,1525.0,15480.35,2
623,15028.0,459.0,4978.06,1
624,17014.0,245.0,2359.41,1
625,15602.0,1141.0,12011.34,0
626,14262.0,1645.0,17658.9,2
627,17115.0,372.0,3440.03,1
628,14732.0,1405.0,15954.33,2
629,17293.0,1140.0,12871.26,0
630,15904.0,84.0,519.96,1
631,15373.0,499.0,7025.1,0
632,16119.0,358.0,4293.69,1
634,16789.0,32.0,198.08,1
635,16242.0,1982.0,18316.84,2
636,16169.0,1325.0,13137.15,0
637,15948.0,567.0,5929.14,0
638,14440.0,588.0,7362.74,0
639,17350.0,795.0,8210.37,0
640,14766.0,1349.0,15056.72,2
641,14299.0,2150.0,25087.2,2
642,12115.0,2098.0,14211.47,2
643,14655.0,1141.0,11411.54,0
644,16011.0,2042.0,23278.79,2
646,12664.0,1188.0,14394.66,2
647,13124.0,2320.0,26146.0,2
648,12562.0,1754.0,15925.47,2
649,17576.0,1994.0,23034.86,2
651,15531.0,1105.0,11625.71,0
652,17566.0,518.0,4798.32,1
653,14432.0,2070.0,22635.29,2
655,16295.0,1258.0,14661.48,2
657,18058.0,88.0,544.72,1
658,12787.0,258.0,2723.08,1
659,12488.0,526.0,5085.36,1
660,12953.0,84.0,519.96,1
662,15414.0,442.0,4182.88,1
664,12537.0,5.0,30.95,1
666,13658.0,1015.0,10373.48,0
667,14540.0,421.0,4560.11,1
668,12546.0,856.0,8893.83,0
669,15073.0,491.0,5659.44,1
670,13203.0,800.0,8127.89,0
671,12630.0,542.0,5082.9,1
672,15782.0,864.0,10445.3,0
674,16241.0,1453.0,15037.54,2
676,14755.0,2236.0,25430.97,2
678,16115.0,1001.0,11352.63,0
679,16657.0,1228.0,12127.4,0
680,15394.0,910.0,8628.16,0
681,13647.0,895.0,8731.2,0
682,15024.0,920.0,10209.76,0
683,18241.0,1051.0,12303.97,0
684,16062.0,800.0,8469.79,0
685,14963.0,1176.0,11992.03,0
686,12598.0,1952.0,22050.66,2
687,14893.0,799.0,5159.59,1
688,16361.0,421.0,4873.44,1
690,15611.0,502.0,6183.16,0
691,12966.0,75.0,543.0,1
693,13012.0,1398.0,18251.33,2
694,15654.0,542.0,5861.02,0
695,17502.0,1253.0,15611.6,2
696,13255.0,177.0,1773.47,1
697,18230.0,1316.0,15495.4,2
698,14618.0,262.0,2361.36,1
699,15680.0,981.0,10237.07,0
700,16712.0,1746.0,19699.36,2
701,14448.0,104.0,804.9,1
702,15712.0,486.0,5377.67,1
703,14694.0,523.0,3509.62,1
704,15467.0,310.0,3348.4,1
705,15740.0,299.0,3799.99,1
706,12528.0,740.0,8395.34,0
707,13362.0,1382.0,15072.1,2
708,14751.0,143.0,928.72,1
709,17911.0,223.0,1517.12,1
712,17737.0,108.0,985.92,1
715,17787.0,1303.0,13882.75,0
716,17736.0,238.0,2698.12,1
717,14385.0,160.0,1180.99,1
720,17288.0,1203.0,11055.94,0
721,12882.0,246.0,2397.94,1
722,18158.0,354.0,3170.62,1
724,18179.0,1360.0,13570.29,0
725,14713.0,1615.0,17173.74,2
726,16915.0,132.0,1707.16,1
729,12429.0,1538.0,16106.1,2
730,15444.0,764.0,6052.1,0
731,13349.0,224.0,1381.16,1
732,15619.0,136.0,841.84,1
733,15148.0,187.0,1253.17,1
735,13429.0,1390.0,13791.64,0
738,14601.0,449.0,4955.94,1
739,15783.0,212.0,1312.28,1
740,15197.0,469.0,4634.17,1
741,13467.0,950.0,11291.67,0
742,12654.0,260.0,2934.11,1
743,14209.0,1344.0,17436.44,2
744,13928.0,135.0,1683.76,1
745,12375.0,176.0,1385.9,1
746,16818.0,2165.0,25298.02,2
747,13883.0,1436.0,14502.18,2
748,14180.0,719.0,11978.6,0
749,17772.0,58.0,385.78,1
750,13496.0,847.0,10363.97,0
751,16289.0,4.0,24.52,1
752,14419.0,487.0,5377.61,1
753,15297.0,951.0,7259.97,0
756,17655.0,1116.0,13209.99,0
757,17711.0,246.0,2218.99,1
758,14408.0,1616.0,18253.02,2
760,12727.0,2068.0,22770.58,2
762,16352.0,329.0,2948.09,1
763,16992.0,860.0,9852.92,0
764,15361.0,341.0,3904.49,1
765,14173.0,150.0,1441.76,1
766,14452.0,119.0,1019.33,1
768,13137.0,2226.0,23606.0,2
770,14550.0,394.0,3620.44,1
771,13014.0,907.0,11952.66,0
772,13657.0,208.0,1974.52,1
773,14701.0,932.0,10470.91,0
774,16168.0,1892.0,22754.7,2
775,14125.0,1640.0,17978.93,2
776,16479.0,102.0,701.73,1
777,17466.0,306.0,2729.72,1
778,16782.0,712.0,8334.77,0
779,14785.0,84.0,537.36,1
780,16852.0,56.0,669.4,1
782,12464.0,95.0,1657.98,1
783,13999.0,2302.0,24403.9,2
784,15206.0,162.0,1610.46,1
785,14390.0,2138.0,22773.77,2
786,17101.0,815.0,8454.29,0
787,13147.0,144.0,1767.84,1
788,15239.0,594.0,5695.99,1
789,13428.0,156.0,979.98,1
790,14824.0,525.0,4354.1,1
793,13211.0,874.0,8825.93,0
794,12463.0,770.0,8933.32,0
795,15790.0,114.0,723.3,1
796,15755.0,1427.0,16126.41,2
797,14711.0,978.0,12315.08,0
798,13068.0,200.0,1321.0,1
799,16471.0,544.0,4243.69,1
801,16775.0,440.0,6005.15,0
802,14723.0,696.0,7260.61,0
803,12670.0,2007.0,22266.5,2
804,17468.0,116.0,716.6,1
806,14349.0,86.0,551.21,1
808,17682.0,1447.0,12084.8,0
810,15089.0,1359.0,15587.54,2
811,12508.0,1788.0,13121.98,0
812,14554.0,1478.0,15498.68,2
813,14836.0,43.0,469.25,1
814,14512.0,1466.0,10362.33,0
815,14741.0,841.0,9267.58,0
816,17924.0,1160.0,14059.86,0
817,13258.0,706.0,9077.62,0
818,15511.0,271.0,3340.61,1
820,12906.0,1749.0,18246.42,2
821,15571.0,264.0,2965.15,1
823,17031.0,235.0,1696.15,1
825,14470.0,193.0,2097.9,1
826,13914.0,380.0,3156.39,1
828,12668.0,1599.0,17865.24,2
829,17988.0,43.0,534.73,1
830,15561.0,267.0,2568.97,1
831,13758.0,1844.0,20124.51,2
832,15714.0,304.0,3224.04,1
834,16364.0,280.0,2552.41,1
836,17299.0,678.0,7220.39,0
837,15721.0,409.0,2665.93,1
838,14215.0,1358.0,12958.92,0
839,17852.0,53.0,333.17,1
840,15022.0,543.0,5556.75,1
841,13115.0,1567.0,15665.8,2
842,18096.0,825.0,8196.94,0
843,16094.0,647.0,6968.41,0
844,13590.0,1848.0,17411.9,2
845,17019.0,827.0,8770.53,0
846,16744.0,805.0,8373.79,0
847,14597.0,577.0,4302.28,1
848,16347.0,353.0,3105.33,1
849,17523.0,872.0,7216.98,0
850,13844.0,196.0,1213.24,1
851,12479.0,388.0,2706.55,1
852,12660.0,126.0,779.94,1
853,18101.0,88.0,770.44,1
854,17419.0,1876.0,22897.82,2
855,15540.0,200.0,1238.0,1
856,17188.0,1328.0,15261.47,2
857,13196.0,1224.0,13432.45,0
858,17379.0,663.0,4121.82,1
860,13389.0,428.0,4538.74,1
861,14290.0,915.0,11028.26,0
862,16800.0,540.0,3368.55,1
863,17806.0,727.0,4530.58,1
864,13030.0,394.0,3663.42,1
865,17359.0,161.0,996.59,1
867,13950.0,322.0,3169.86,1
868,17237.0,105.0,1216.79,1
870,13188.0,24.0,148.56,1
871,13187.0,1496.0,10146.27,0
872,12657.0,1032.0,8016.62,0
873,17929.0,108.0,1766.8,1
874,14480.0,143.0,883.07,1
875,14511.0,1131.0,13011.81,0
876,14901.0,661.0,7671.09,0
877,13232.0,1471.0,17760.13,2
878,13571.0,1757.0,18712.32,2
879,16407.0,1124.0,12621.96,0
880,17864.0,810.0,8605.39,0
881,14859.0,671.0,6047.46,0
882,14878.0,888.0,10544.98,0
883,17769.0,1862.0,20880.89,2
885,17812.0,350.0,3096.73,1
886,13782.0,371.0,4170.63,1
887,17236.0,496.0,5520.41,1
889,18156.0,301.0,2419.57,1
890,15747.0,480.0,3812.91,1
891,13064.0,516.0,5540.89,1
892,16942.0,811.0,8497.64,0
894,14577.0,610.0,7084.59,0
895,15351.0,753.0,8689.6,0
897,13940.0,1151.0,10167.63,0
898,16024.0,378.0,2517.27,1
899,15009.0,642.0,6796.28,0
900,16005.0,300.0,2655.62,1
901,16877.0,463.0,5201.01,1
902,17411.0,306.0,3451.94,1
903,14954.0,127.0,858.31,1
904,17885.0,367.0,3712.36,1
905,15514.0,2160.0,24231.31,2
906,18112.0,255.0,2226.91,1
907,13546.0,359.0,3612.92,1
908,15054.0,198.0,1843.62,1
909,17231.0,2211.0,25669.56,2
910,13610.0,516.0,6088.93,0
911,15987.0,1556.0,16432.09,2
913,13991.0,997.0,9113.04,0
914,18001.0,363.0,3649.15,1
915,15436.0,613.0,6627.72,0
916,17595.0,232.0,1961.16,1
918,14093.0,406.0,2801.64,1
919,15117.0,1948.0,17424.99,2
920,13579.0,176.0,1444.96,1
921,15134.0,887.0,10074.29,0
922,16856.0,145.0,1432.41,1
924,14703.0,183.0,1166.37,1
925,16719.0,1204.0,12921.64,0
926,15793.0,553.0,5576.75,1
927,17302.0,575.0,6686.48,0
928,12620.0,1178.0,10989.5,0
929,17624.0,554.0,5100.7,1
931,17385.0,509.0,5542.39,1
933,12531.0,45.0,278.55,1
934,15737.0,598.0,6625.78,0
935,17348.0,1401.0,14643.91,2
937,13978.0,315.0,3337.28,1
938,13746.0,1431.0,9072.8,0
939,15872.0,212.0,1404.38,1
940,13525.0,394.0,3574.06,1
941,13184.0,1691.0,18364.35,2
942,13589.0,114.0,975.82,1
943,12788.0,4.0,24.76,1
944,14966.0,187.0,1157.53,1
945,17557.0,306.0,3099.53,1
946,13149.0,1494.0,16005.26,2
948,13048.0,1238.0,11121.63,0
950,12438.0,1169.0,10591.5,0
951,13332.0,176.0,1274.24,1
952,14946.0,22.0,159.28,1
953,14111.0,457.0,3951.41,1
955,17823.0,6.0,36.12,1
956,17562.0,817.0,8168.14,0
957,17329.0,142.0,1398.77,1
958,16827.0,1255.0,7901.4,0
959,16828.0,60.0,724.15,1
960,14710.0,378.0,4258.47,1
961,15186.0,602.0,7480.56,0
962,15473.0,672.0,7633.76,0
963,13833.0,1029.0,7387.6,0
965,13842.0,1779.0,21479.72,2
966,17813.0,790.0,9461.27,0
967,15844.0,1331.0,9141.68,0
968,12845.0,205.0,2461.6,1
969,15847.0,450.0,5009.53,1
970,14332.0,495.0,5903.35,0
971,15594.0,977.0,11425.33,0
972,12421.0,478.0,5091.65,1
973,13277.0,176.0,1381.84,1
974,15270.0,1521.0,15379.19,2
975,12494.0,698.0,7273.18,0
976,14539.0,429.0,2977.89,1
977,15632.0,2109.0,23176.15,2
978,14987.0,128.0,1219.2,1
979,16596.0,106.0,1046.23,1
981,17228.0,1532.0,16008.42,2
984,13638.0,93.0,575.67,1
986,16173.0,575.0,6456.09,0
987,16157.0,347.0,3167.19,1
988,16189.0,134.0,1391.72,1
990,16271.0,1037.0,9570.37,0
991,17671.0,772.0,8030.8,0
994,12388.0,1462.0,16632.03,2
996,16482.0,346.0,2141.74,1
997,16824.0,236.0,2317.08,1
998,12476.0,2357.0,26116.98,2
999,15858.0,1173.0,12964.21,0
1001,12784.0,298.0,2033.17,1
1002,17458.0,216.0,1646.43,1
1004,17975.0,1566.0,20018.08,2
1006,16885.0,183.0,1851.24,1
